--- Running on: cuda ---
Loading Data...
Features: 15, Target: 4
Start Training...
Ep 01 | Time: 0m2s | T: 0.325091 | V: 0.023692
   > Saved Best Model.
Ep 02 | Time: 0m1s | T: 0.096752 | V: 0.009478
   > Saved Best Model.
Ep 03 | Time: 0m1s | T: 0.065765 | V: 0.008611
   > Saved Best Model.
Ep 04 | Time: 0m1s | T: 0.050438 | V: 0.004017
   > Saved Best Model.
Ep 05 | Time: 0m1s | T: 0.041097 | V: 0.005041
Ep 06 | Time: 0m1s | T: 0.035169 | V: 0.005344
Ep 07 | Time: 0m1s | T: 0.030314 | V: 0.003330
   > Saved Best Model.
Ep 08 | Time: 0m1s | T: 0.027049 | V: 0.003567
Ep 09 | Time: 0m1s | T: 0.024204 | V: 0.004144
Ep 10 | Time: 0m1s | T: 0.022279 | V: 0.002778
   > Saved Best Model.
Ep 11 | Time: 0m1s | T: 0.019819 | V: 0.003400
Ep 12 | Time: 0m1s | T: 0.018994 | V: 0.003798
Ep 13 | Time: 0m1s | T: 0.018012 | V: 0.002886
Ep 14 | Time: 0m1s | T: 0.016406 | V: 0.003807
Ep 15 | Time: 0m1s | T: 0.015403 | V: 0.002859
Ep 16 | Time: 0m1s | T: 0.015456 | V: 0.002887
Ep 17 | Time: 0m1s | T: 0.015232 | V: 0.003073
Ep 18 | Time: 0m1s | T: 0.015259 | V: 0.003495
Ep 19 | Time: 0m1s | T: 0.015249 | V: 0.002818
Ep 20 | Time: 0m1s | T: 0.015141 | V: 0.002896
Ep 21 | Time: 0m1s | T: 0.015277 | V: 0.002919
Ep 22 | Time: 0m1s | T: 0.015119 | V: 0.002798
Ep 23 | Time: 0m1s | T: 0.015130 | V: 0.002821
Ep 24 | Time: 0m1s | T: 0.014975 | V: 0.002866
Ep 25 | Time: 0m1s | T: 0.015224 | V: 0.002886
Ep 26 | Time: 0m1s | T: 0.014930 | V: 0.002900
Ep 27 | Time: 0m1s | T: 0.015204 | V: 0.002899
Ep 28 | Time: 0m1s | T: 0.015176 | V: 0.002899
Ep 29 | Time: 0m1s | T: 0.015092 | V: 0.002900
Ep 30 | Time: 0m1s | T: 0.015161 | V: 0.002901
Ep 31 | Time: 0m1s | T: 0.014995 | V: 0.002904
Ep 32 | Time: 0m1s | T: 0.015131 | V: 0.002904
Ep 33 | Time: 0m1s | T: 0.015039 | V: 0.002904
Ep 34 | Time: 0m1s | T: 0.014741 | V: 0.002902
Ep 35 | Time: 0m1s | T: 0.015326 | V: 0.002900
Ep 36 | Time: 0m1s | T: 0.015157 | V: 0.002900
Ep 37 | Time: 0m1s | T: 0.015114 | V: 0.002900
Ep 38 | Time: 0m1s | T: 0.015293 | V: 0.002902
Ep 39 | Time: 0m1s | T: 0.015212 | V: 0.002902
Ep 40 | Time: 0m1s | T: 0.014791 | V: 0.002902
Ep 41 | Time: 0m1s | T: 0.015059 | V: 0.002900
Ep 42 | Time: 0m1s | T: 0.015490 | V: 0.002898
Ep 43 | Time: 0m1s | T: 0.015171 | V: 0.002899
Ep 44 | Time: 0m1s | T: 0.014971 | V: 0.002901
Ep 45 | Time: 0m1s | T: 0.014995 | V: 0.002901
Ep 46 | Time: 0m1s | T: 0.014937 | V: 0.002900
Ep 47 | Time: 0m1s | T: 0.014936 | V: 0.002899
Ep 48 | Time: 0m1s | T: 0.015096 | V: 0.002901
Ep 49 | Time: 0m1s | T: 0.015063 | V: 0.002904
Ep 50 | Time: 0m1s | T: 0.015070 | V: 0.002904
Ep 51 | Time: 0m1s | T: 0.015317 | V: 0.002907
Ep 52 | Time: 0m1s | T: 0.015217 | V: 0.002906
Ep 53 | Time: 0m1s | T: 0.015106 | V: 0.002907
Ep 54 | Time: 0m1s | T: 0.014925 | V: 0.002906
Ep 55 | Time: 0m1s | T: 0.014875 | V: 0.002905
Ep 56 | Time: 0m1s | T: 0.014940 | V: 0.002903
Ep 57 | Time: 0m1s | T: 0.015240 | V: 0.002902
Ep 58 | Time: 0m1s | T: 0.014931 | V: 0.002902
Ep 59 | Time: 0m1s | T: 0.014738 | V: 0.002902
Ep 60 | Time: 0m1s | T: 0.015070 | V: 0.002904
Ep 61 | Time: 0m1s | T: 0.014956 | V: 0.002906
Ep 62 | Time: 0m1s | T: 0.014832 | V: 0.002906
Ep 63 | Time: 0m1s | T: 0.014963 | V: 0.002907
Ep 64 | Time: 0m1s | T: 0.015198 | V: 0.002907
Ep 65 | Time: 0m1s | T: 0.014948 | V: 0.002909
Ep 66 | Time: 0m1s | T: 0.015196 | V: 0.002906
Ep 67 | Time: 0m1s | T: 0.015005 | V: 0.002904
Ep 68 | Time: 0m1s | T: 0.015147 | V: 0.002902
Ep 69 | Time: 0m1s | T: 0.014955 | V: 0.002903
Ep 70 | Time: 0m1s | T: 0.015160 | V: 0.002906
Ep 71 | Time: 0m1s | T: 0.015350 | V: 0.002910
Ep 72 | Time: 0m1s | T: 0.015096 | V: 0.002910
Ep 73 | Time: 0m1s | T: 0.014728 | V: 0.002915
Ep 74 | Time: 0m1s | T: 0.015076 | V: 0.002915
Ep 75 | Time: 0m1s | T: 0.015076 | V: 0.002917
Ep 76 | Time: 0m1s | T: 0.014858 | V: 0.002919
Ep 77 | Time: 0m1s | T: 0.014919 | V: 0.002919
Ep 78 | Time: 0m1s | T: 0.014958 | V: 0.002923
Ep 79 | Time: 0m1s | T: 0.014813 | V: 0.002924
Ep 80 | Time: 0m1s | T: 0.015122 | V: 0.002925
Ep 81 | Time: 0m1s | T: 0.015003 | V: 0.002922
Ep 82 | Time: 0m1s | T: 0.014954 | V: 0.002919
Ep 83 | Time: 0m1s | T: 0.015004 | V: 0.002920
Ep 84 | Time: 0m1s | T: 0.015053 | V: 0.002918
Ep 85 | Time: 0m1s | T: 0.015010 | V: 0.002919
Ep 86 | Time: 0m1s | T: 0.015223 | V: 0.002918
Ep 87 | Time: 0m1s | T: 0.015029 | V: 0.002915
Ep 88 | Time: 0m1s | T: 0.015051 | V: 0.002918
Ep 89 | Time: 0m1s | T: 0.014907 | V: 0.002917
Ep 90 | Time: 0m2s | T: 0.015020 | V: 0.002915
Ep 91 | Time: 0m1s | T: 0.014960 | V: 0.002914
Ep 92 | Time: 0m1s | T: 0.014906 | V: 0.002914
Ep 93 | Time: 0m1s | T: 0.015159 | V: 0.002916
