--- Running on: cuda ---
Loading Data...
Features: 15, Target: 4
Model has 7,379,204 trainable parameters
Start Training...
Ep 01 | Time: 0m1s | T: 0.712695 | V: 0.021526
   > Saved Best Model.
Ep 02 | Time: 0m1s | T: 0.022540 | V: 0.019734
   > Saved Best Model.
Ep 03 | Time: 0m1s | T: 0.012540 | V: 0.006855
   > Saved Best Model.
Ep 04 | Time: 0m1s | T: 0.008861 | V: 0.002438
   > Saved Best Model.
Ep 05 | Time: 0m1s | T: 0.005971 | V: 0.002733
Ep 06 | Time: 0m1s | T: 0.004864 | V: 0.005756
Ep 07 | Time: 0m1s | T: 0.002451 | V: 0.001401
   > Saved Best Model.
Ep 08 | Time: 0m1s | T: 0.001963 | V: 0.003044
Ep 09 | Time: 0m1s | T: 0.005903 | V: 0.001674
Ep 10 | Time: 0m1s | T: 0.002019 | V: 0.001170
   > Saved Best Model.
Ep 11 | Time: 0m1s | T: 0.003353 | V: 0.003848
Ep 12 | Time: 0m1s | T: 0.003028 | V: 0.002331
Ep 13 | Time: 0m1s | T: 0.001830 | V: 0.001896
Ep 14 | Time: 0m1s | T: 0.001721 | V: 0.001023
   > Saved Best Model.
Ep 15 | Time: 0m1s | T: 0.001466 | V: 0.000989
   > Saved Best Model.
Ep 16 | Time: 0m1s | T: 0.001613 | V: 0.002223
Ep 17 | Time: 0m1s | T: 0.001396 | V: 0.001528
Ep 18 | Time: 0m1s | T: 0.001230 | V: 0.001050
Ep 19 | Time: 0m1s | T: 0.001481 | V: 0.001025
Ep 20 | Time: 0m1s | T: 0.001023 | V: 0.000816
   > Saved Best Model.
Ep 21 | Time: 0m1s | T: 0.001002 | V: 0.000847
Ep 22 | Time: 0m1s | T: 0.000988 | V: 0.000824
Ep 23 | Time: 0m1s | T: 0.001000 | V: 0.000877
Ep 24 | Time: 0m1s | T: 0.000997 | V: 0.000820
Ep 25 | Time: 0m1s | T: 0.000981 | V: 0.000814
   > Saved Best Model.
Ep 26 | Time: 0m1s | T: 0.000974 | V: 0.000828
Ep 27 | Time: 0m1s | T: 0.000972 | V: 0.000832
Ep 28 | Time: 0m1s | T: 0.000977 | V: 0.000809
   > Saved Best Model.
Ep 29 | Time: 0m1s | T: 0.000981 | V: 0.000819
Ep 30 | Time: 0m1s | T: 0.000972 | V: 0.000824
Ep 31 | Time: 0m1s | T: 0.000971 | V: 0.000825
Ep 32 | Time: 0m1s | T: 0.000975 | V: 0.000821
Ep 33 | Time: 0m1s | T: 0.000973 | V: 0.000815
Ep 34 | Time: 0m1s | T: 0.000970 | V: 0.000815
Ep 35 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 36 | Time: 0m1s | T: 0.000969 | V: 0.000815
Ep 37 | Time: 0m1s | T: 0.000974 | V: 0.000815
Ep 38 | Time: 0m1s | T: 0.000968 | V: 0.000815
Ep 39 | Time: 0m1s | T: 0.000981 | V: 0.000815
Ep 40 | Time: 0m1s | T: 0.000970 | V: 0.000815
Ep 41 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 42 | Time: 0m1s | T: 0.000966 | V: 0.000814
Ep 43 | Time: 0m1s | T: 0.000975 | V: 0.000814
Ep 44 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 45 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 46 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 47 | Time: 0m2s | T: 0.000974 | V: 0.000814
Ep 48 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 49 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 50 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 51 | Time: 0m1s | T: 0.000967 | V: 0.000814
Ep 52 | Time: 0m1s | T: 0.000994 | V: 0.000814
Ep 53 | Time: 0m1s | T: 0.000967 | V: 0.000814
Ep 54 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 55 | Time: 0m1s | T: 0.000976 | V: 0.000814
Ep 56 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 57 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 58 | Time: 0m1s | T: 0.000965 | V: 0.000814
Ep 59 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 60 | Time: 0m1s | T: 0.000966 | V: 0.000814
Ep 61 | Time: 0m1s | T: 0.000967 | V: 0.000814
Ep 62 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 63 | Time: 0m1s | T: 0.000974 | V: 0.000814
Ep 64 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 65 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 66 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 67 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 68 | Time: 0m1s | T: 0.000977 | V: 0.000814
Ep 69 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 70 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 71 | Time: 0m1s | T: 0.000974 | V: 0.000814
Ep 72 | Time: 0m1s | T: 0.000967 | V: 0.000814
Ep 73 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 74 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 75 | Time: 0m1s | T: 0.000970 | V: 0.000814
Ep 76 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 77 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 78 | Time: 0m1s | T: 0.000972 | V: 0.000814
Ep 79 | Time: 0m1s | T: 0.000973 | V: 0.000814
Ep 80 | Time: 0m1s | T: 0.000974 | V: 0.000814
Ep 81 | Time: 0m1s | T: 0.000990 | V: 0.000814
Ep 82 | Time: 0m1s | T: 0.000968 | V: 0.000814
Ep 83 | Time: 0m1s | T: 0.000969 | V: 0.000814
Ep 84 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 85 | Time: 0m1s | T: 0.000971 | V: 0.000814
Ep 86 | Time: 0m1s | T: 0.000969 | V: 0.000814
